Key,Press_Time,Release_Time,Dwell_Time,Flight_Time
a,746774.3128786,746774.4194509,0.10657230007927865,0.12802449997980148
r,746774.4047778,746774.4708027,0.06602490006480366,0.2199236999731511
space,746774.6628073,746774.7529342,0.09012690000236034,0.1920045999577269
e,746774.8748995,746774.9569938,0.08209429995622486,0.12196530005894601
n,746775.0967563,746775.1847834,0.08802710007876158,0.1397624999517575
g,746775.3866922,746775.4566947,0.07000250008422881,0.2019087999360636
i,746775.6048838,746775.6884486,0.08356479997746646,0.148189099971205
n,746775.8188228,746775.9130961,0.09427330002654344,0.130374199943617
e,746775.9847843,746776.0710198,0.08623550005722791,0.07168819999787956
e,746776.1667328,746776.2748229,0.1080900999950245,0.09571299992967397
r,746776.3967145,746776.4994298,0.1027152999304235,0.12189160007983446
i,746776.4927073,746776.5809088,0.08820150000974536,0.21788440004456788
n,746776.7027642,746776.7928069,0.09004269994329661,0.12185540003702044
g,746776.8549986,746776.9407794,0.08578080008737743,0.06219169998075813
space,746776.998909,746777.0950743,0.09616529999766499,0.058129599899984896
s,746777.8947926,746777.9848411,0.090048500103876,0.7997182999970391
t,746778.0290446,746778.0968231,0.06777850002981722,0.04420349991414696
u,746778.2748659,746778.3610489,0.08618300000671297,0.1780428000492975
d,746778.4326738,746778.7107028,0.27802899992093444,0.07162489998154342
e,746778.5888474,746778.7446778,0.15583039994817227,0.22779849998187274
n,746778.7248511,746778.8147101,0.08985899994149804,0.014148300047963858
t,746779.0094367,746779.069287,0.05985029996372759,0.19472660007886589
space,746779.6108137,746779.6927877,0.08197399997152388,0.5415267000207677
enter,746781.0470407,746781.1870117,0.13997100002598017,1.3542529999976978
right shift,746780.8688417,746781.1908081,0.3219664000207558,1.176054000039585
i,746781.4490438,746781.5268345,0.07779070001561195,0.2582356999628246
m,746781.6728064,746781.7368497,0.06404329999350011,0.14597189996857196
space,746781.8778996,746781.9748118,0.09691220009699464,0.14104989997576922
c,746782.0449,746782.1307379,0.08583790005650371,0.07008819992188364
u,746782.2188431,746782.2853942,0.06655109999701381,0.08810519997496158
r,746782.45875,746782.5168425,0.05809249996673316,0.17335579998325557
r,746782.5952112,746782.664707,0.06949580006767064,0.07836869999300689
e,746782.7467431,746782.8466585,0.09991540003102273,0.08203609997872263
n,746783.0447993,746783.1286603,0.08386100002098829,0.19814079999923706
t,746783.3448057,746783.430667,0.08586130000185221,0.21614539995789528
l,746783.4426185,746783.5388736,0.09625509998295456,0.011951499967835844
y,746783.7608912,746783.8327616,0.0718703999882564,0.222017600084655
space,746784.0527539,746784.1408182,0.08806430001277477,0.21999229991342872
i,746784.3027361,746784.3686363,0.06590019993018359,0.1619179000845179
n,746784.4929569,746784.5826756,0.08971869992092252,0.12432060006540269
t,746784.6566878,746784.7247055,0.06801769998855889,0.07401219999883324
o,746784.7867443,746784.8607147,0.07397039991337806,0.062038800097070634
space,746785.0350157,746785.1308228,0.09580709994770586,0.17430100007914007
caps lock,746785.4425842,746785.5490482,0.10646400006953627,0.31176139996387064
A,746785.6588477,746785.7765258,0.11767810001038015,0.10979949997272342
I,746785.8267526,746785.8987009,0.07194829999934882,0.0502268000273034
caps lock,746786.0274342,746786.1545985,0.1271642999490723,0.12873330002184957
space,746786.1206911,746786.2306077,0.10991659993305802,0.2219901999924332
a,746786.3679749,746786.4808583,0.11288340005557984,0.13736719998996705
n,746786.4767722,746786.5606213,0.08384910004679114,0.24616450001485646
space,746786.7688768,746786.8908533,0.12197650002781302,0.2082554999506101
backspace,746787.4743975,746787.546776,0.07237849989905953,0.5835442000534385
d,746787.5827824,746787.6767705,0.09398810006678104,0.03600640001241118
space,746787.7667634,746787.8546776,0.08791419991757721,0.08999290002975613
a,746788.4107555,746788.5208034,0.11004790000151843,0.5560778999933973
p,746788.5986975,746788.6688518,0.07015430007595569,0.07789409998804331
p,746788.763197,746788.8427167,0.07951970002613962,0.0943451999919489
space,746789.0408246,746789.1208543,0.0800296999514103,0.19810789998155087
d,746789.2347265,746789.5226846,0.2879580999724567,0.11387220001779497
e,746789.374713,746789.5345991,0.15988609998021275,0.25385870004538447
v,746789.640663,746789.7207862,0.08012319996487349,0.10606390004977584
space,746789.8648553,746789.966735,0.10187969997059554,0.1440691000316292
s,746790.5387852,746790.6553591,0.11657389998435974,0.5720501999603584
o,746790.7049267,746790.7941918,0.0892651000758633,0.04956760001368821
space,746792.0625809,746792.1567005,0.09411960002034903,1.2683890999760479
i,746792.3368601,746792.3437677,0.006907599978148937,0.18015959998592734
space,746792.5567846,746792.6427137,0.08592909993603826,0.21301690000109375
b,746793.0669023,746793.1547971,0.08789480000268668,0.42418860003817827
u,746793.3128055,746793.3807653,0.06795980001334101,0.15800840000156313
i,746793.5808384,746793.6627279,0.0818894999101758,0.20007310004439205
l,746793.8227035,746793.9107952,0.08809169998858124,0.1599756000796333
d,746794.0566656,746794.1491401,0.09247449995018542,0.14587040001060814
space,746794.1448037,746794.2147016,0.06989789998624474,0.2340085000032559
a,746794.4326151,746794.5426413,0.11002619995269924,0.217913500033319
p,746794.5707025,746794.5806423,0.009939800016582012,0.02806119993329048
p,746794.7107605,746794.7987584,0.08799789997283369,0.13011820008978248
s,746794.9048857,746795.0034033,0.09851759998127818,0.10612729995045811
space,746795.064641,746795.1387114,0.07407039997633547,0.06123770005069673
w,746796.160759,746796.262786,0.10202700004447252,1.02204760001041
h,746796.4406994,746796.5153766,0.07467719994019717,0.17791339999530464
i,746796.6385332,746796.7109102,0.07237700000405312,0.12315660004969686
c,746796.812675,746796.9165421,0.10386709996964782,0.10176480002701283
h,746796.8967155,746796.9649501,0.068234600010328,0.1858053000178188
space,746797.1186126,746797.1987684,0.08015579998027533,0.1536624999716878
a,746797.2389521,746797.3327588,0.09380669996608049,0.04018370003905147
r,746797.5347618,746797.7368281,0.2020663000876084,0.20200299995485693
e,746797.6546835,746797.7828131,0.1281296000815928,0.3219246999360621
space,746797.7856506,746797.8647652,0.07911459996830672,0.0028374999528750777
caps lock,746798.2207708,746798.3287748,0.10800399992149323,0.35600560007151216
A,746798.4469391,746798.5568662,0.10992709989659488,0.11816430010367185
I,746798.6514261,746798.7268796,0.07545349991414696,0.09455990011338145
space,746798.9048001,746798.9868103,0.0820102000143379,0.17792050004936755
caps lock,746798.9142106,746799.0310118,0.11680120008531958,0.18733099999371916
e,746799.3647824,746799.450867,0.08608460007235408,0.3337705999147147
n,746799.7387388,746799.8409906,0.10225179989356548,0.28787180001381785
a,746799.9025736,746799.9868323,0.08425870002247393,0.06158300000242889
b,746800.0285847,746800.0909611,0.062376399990171194,0.041752399993129075
l,746800.280888,746800.3667779,0.08588989998679608,0.1899269000859931
e,746800.444693,746800.5705644,0.12587139999959618,0.07791510003153235
d,746800.7288413,746800.8307443,0.10190300003159791,0.1582768999505788
enter,746801.3909211,746801.5469725,0.1560514000011608,0.5601768000051379
right shift,746801.1908121,746801.5746525,0.3838404000271112,0.3600677999202162
i,746802.478618,746802.564678,0.08606000000145286,0.9039655000669882
space,746802.7288857,746802.8105871,0.08170139999128878,0.16420769994147122
h,746802.9545278,746803.0148716,0.06034379999618977,0.14394069998525083
a,746803.0747116,746803.1846605,0.10994890006259084,0.059840000001713634
v,746803.1865074,746803.2586972,0.07218979997560382,0.001846899976953864
e,746803.340726,746803.4206602,0.07993419992271811,0.08202880003955215
space,746803.4526826,746803.5449281,0.09224549995269626,0.03202240006066859
b,746804.2008747,746804.2847892,0.08391450007911772,0.6559466000180691
u,746804.40471,746804.4728143,0.06810429994948208,0.11992079997435212
i,746805.2584766,746805.3405055,0.08202889992389828,0.7856623000698164
l,746805.4906814,746805.5969165,0.10623509995639324,0.1501759000821039
t,746805.8649007,746805.9625697,0.09766899992246181,0.2679842000361532
space,746806.010655,746806.0967277,0.08607269998174161,0.0480853000190109
3,746806.296696,746806.3990679,0.10237189999315888,0.1999683000613004
space,746806.4079982,746806.4906642,0.08266600000206381,0.008930300013162196
a,746806.7327947,746806.8429621,0.11016740009654313,0.24213049991521984
p,746806.8666856,746806.9346362,0.06795059994328767,0.02372349996585399
p,746807.0226374,746807.1046314,0.08199400000739843,0.08800119999796152
s,746807.1988066,746807.3006735,0.10186690010596067,0.09417519997805357
space,746807.3447523,746807.4286572,0.08390490000601858,0.04407879989594221
w,746807.5206834,746807.6348157,0.11413230001926422,0.0920262000290677
i,746807.6646304,746807.7306763,0.06604589999187738,0.029814700013957918
t,746807.8848363,746807.9746863,0.08984999998938292,0.15416000003460795
h,746807.9986719,746808.0789087,0.08023680001497269,0.02398559998255223
space,746808.2465968,746808.3346396,0.08804279996547848,0.1676881000166759
f,746808.46845,746808.5387855,0.0703354999423027,0.13381040003150702
l,746808.6187085,746808.7068013,0.08809279999695718,0.07992300007026643
u,746808.8807976,746808.9548887,0.07409110001754016,0.17399629997089505
t,746809.1307918,746809.1966626,0.06587080005556345,0.17590309993829578
t,746809.2687908,746809.3608934,0.09210260002873838,0.07212819997221231
e,746809.394874,746809.5767366,0.18186260003130883,0.03398059995379299
r,746809.4905506,746809.6227818,0.13223119999747723,0.12965719995554537
space,746809.6250453,746809.704615,0.07956970005761832,0.0022635000059381127
r,746809.7907703,746809.8944632,0.10369290004018694,0.08615529991220683
i,746809.8968867,746809.9847006,0.0878139000851661,0.002423499943688512
g,746810.1108042,746810.1828254,0.07202119997236878,0.1261036000214517
h,746810.2926666,746810.3786649,0.08599829999729991,0.10984119994100183
t,746810.4067304,746810.4986345,0.09190409991424531,0.028065500082448125
space,746810.5386005,746810.6228584,0.08425790001638234,0.03996600001119077
n,746810.7327538,746810.8087024,0.07594859995879233,0.10989540000446141
o,746810.9286602,746811.0070291,0.07836889999452978,0.11995780002325773
w,746811.0865395,746811.1685759,0.08203639998100698,0.07951040007174015
enter,746812.2045962,746812.3466836,0.1420873999595642,1.0360203000018373
right shift,746811.3086808,746812.3888061,1.080125299980864,0.14010489999782294
s,746812.8608185,746812.9686051,0.10778659989591688,0.4720124000450596
e,746813.0945238,746813.1768763,0.0823525000596419,0.12591870001051575
c,746813.2049529,746813.2787521,0.07379920000676066,0.028076599934138358
o,746813.5028932,746813.5848066,0.08191339997574687,0.22414110007230192
d,746813.8106081,746813.8906755,0.08006740000564605,0.22580150002613664
backspace,746814.5387737,746814.6387941,0.10002040001563728,0.6480981999775395
n,746814.9247469,746814.9966005,0.07185359997674823,0.2859527999535203
d,746815.0890624,746815.1886312,0.0995687999529764,0.09246190008707345
l,746815.2112496,746815.2967527,0.08550309995189309,0.02261840004939586
t,746815.4546401,746815.5386604,0.08402029995340854,0.157887400011532
backspace,746815.9888239,746816.074729,0.08590509998612106,0.4501635000342503
y,746816.2486962,746816.346869,0.09817280003335327,0.17396719998214394
space,746816.374555,746816.4593685,0.08481350005604327,0.027685999986715615
i,746816.5946969,746816.6468586,0.05216169997584075,0.13532839994877577
m,746816.8030043,746816.9006892,0.09768490004353225,0.1561457000207156
space,746817.0306597,746817.1186973,0.08803759992588311,0.1299705000128597
a,746817.1788117,746817.2787753,0.09996360004879534,0.06011439999565482
l,746817.2987086,746817.3807202,0.08201160002499819,0.01993329997640103
s,746817.4388906,746817.5387969,0.09990629996173084,0.05817039997782558
o,746817.5526958,746817.610726,0.05803020007442683,0.01389890001155436
space,746817.7766846,746817.8508501,0.07416550000198185,0.16595860000234097
i,746817.9865685,746818.0524383,0.06586979993153363,0.13571840000804514
n,746818.174567,746818.2644741,0.0899070999585092,0.12212870002258569
t,746818.4544774,746818.5266168,0.07213939994107932,0.1900033000856638
e,746818.5666909,746818.6706628,0.10397189995273948,0.04007410001941025
r,746818.6725637,746818.7587497,0.08618600002955645,0.0019009000388905406
e,746818.7807293,746818.8667558,0.08602649997919798,0.02197959995828569
s,746818.9874849,746819.0745666,0.08708169998135418,0.12072910007555038
t,746819.0927029,746819.1828067,0.09010380005929619,0.0181362999137491
e,746819.2729701,746819.3627289,0.08975879999343306,0.09016340004745871
d,746819.4945933,746819.6066126,0.11201929999515414,0.1318643999984488
space,746819.6088734,746819.6907795,0.08190609992016107,0.0022607999853789806
i,746819.8427575,746819.9207658,0.0780083000427112,0.15197800006717443
n,746820.0367147,746820.1226638,0.0859490999719128,0.11594889999832958
space,746820.2405856,746820.334678,0.09409239992965013,0.11792180000338703
m,746820.8466868,746820.9406434,0.09395659994333982,0.5120088000549003
a,746820.9807436,746821.0826723,0.10192869999445975,0.04010020010173321
c,746821.2886837,746821.402764,0.11408029997255653,0.20601139997597784
h,746821.4265592,746821.5187048,0.09214560000691563,0.023795200046151876
i,746821.6247713,746821.6947525,0.06998120003845543,0.1060664999531582
n,746821.8187557,746821.9089101,0.09015439997892827,0.12400319997686893
e,746821.9348047,746822.0207594,0.08595470001455396,0.025894599966704845
space,746822.0886922,746822.1609258,0.07223359995987266,0.06793280004058033
l,746822.2887727,746822.3787477,0.08997500000987202,0.12784690002445132
e,746822.4306744,746822.4986881,0.06801370007451624,0.05192669993266463
a,746822.6526237,746822.7588327,0.10620899999048561,0.15393559995573014
r,746822.7630649,746822.8347469,0.07168200006708503,0.004232199979014695
n,746823.6348097,746823.7446806,0.10987090005073696,0.8000627999426797
backspace,746824.3648024,746824.4626979,0.09789550001733005,0.6201217999914661
i,746824.7068853,746824.7868513,0.07996600004844368,0.24418739997781813
n,746824.9267943,746825.0106285,0.0838342000497505,0.13994299992918968
g,746825.0366724,746825.1067211,0.07004870008677244,0.026043899939395487
space,746825.1646853,746825.2547222,0.09003690001554787,0.05796419992111623
m,746826.4686575,746826.5567119,0.0880544000538066,1.2139353000093251
y,746826.7886638,746826.8587459,0.07008209999185055,0.23195189994294196
space,746827.0387551,746827.1287735,0.09001839999109507,0.18000920000486076
r,746827.3026691,746827.372892,0.07022290001623333,0.17389560001902282
e,746827.4748213,746827.5646389,0.08981759997550398,0.10192929999902844
c,746827.5526396,746827.6350639,0.08242430002428591,0.17974759999196976
e,746827.7829178,746827.8547307,0.07181290001608431,0.1478538999799639
n,746827.9667535,746828.0645947,0.09784119995310903,0.11202280002180487
t,746828.2126583,746828.3165149,0.10385660000611097,0.14806359994690865
space,746828.3586829,746828.4488354,0.09015250008087605,0.04216800001449883
p,746828.6707199,746828.7507245,0.08000459999311715,0.2218845000024885
r,746828.8128333,746828.876723,0.06388969998806715,0.06210879993159324
o,746828.9366877,746829.0067793,0.07009160006418824,0.05996470001991838
j,746829.1807075,746829.2706494,0.08994189999066293,0.17392819991800934
e,746829.3427494,746829.4347422,0.09199280000757426,0.07209999999031425
c,746829.4906603,746829.5785468,0.08788649993948638,0.055918100057169795
t,746829.6667849,746829.7426519,0.0758670000359416,0.08823810005560517
space,746829.9587821,746830.0548642,0.09608209994621575,0.2161301999585703
i,746830.4067621,746830.5027248,0.09596269996836782,0.3518979001091793
n,746830.6846884,746830.7764977,0.09180930000729859,0.1819635999854654
c,746831.0145686,746831.0947043,0.08013570006005466,0.23807089996989816
l,746831.1068141,746831.2025818,0.09576769999694079,0.012109800009056926
u,746831.3626323,746831.4486039,0.08597160002682358,0.16005049995146692
d,746831.4886158,746831.7706996,0.28208379994612187,0.04001190001145005
e,746831.626773,746831.7786152,0.1518421999644488,0.17816909996327013
s,746831.9209245,746832.0247133,0.10378880007192492,0.14230930001940578
space,746832.0587446,746832.1687612,0.11001659999601543,0.03403129999060184
a,746836.2148288,746836.308824,0.09399520000442863,4.046067599905655
space,746836.3267962,746836.4249754,0.0981791999656707,0.0179722000611946
m,746836.589,746836.6867113,0.09771130001172423,0.16402460006065667
a,746836.7407337,746836.8468121,0.10607840004377067,0.0540223999414593
r,746836.975191,746837.0408404,0.06564939999952912,0.12837890000082552
s,746837.1050383,746837.1971471,0.09210879995953292,0.06419790000654757
space,746837.2532967,746837.3512693,0.09797260002233088,0.05614959995727986
s,746837.3951083,746837.5029682,0.10785989998839796,0.04383900004904717
e,746837.6334199,746837.7294342,0.09601430001202971,0.1304516999516636
g,746837.7770689,746837.8490874,0.07201850006822497,0.04763469996396452
m,746838.053301,746838.1487282,0.09542719996534288,0.20421360002364963
e,746838.1995324,746838.2708502,0.07131779997143894,0.05080420000012964
n,746838.3046915,746838.3915655,0.08687399991322309,0.03384130005724728
t,746838.5691929,746838.6413013,0.07210840005427599,0.17762740002945065
a,746838.6450877,746838.7334712,0.08838349999859929,0.0037863999605178833
t,746838.7519802,746838.8372719,0.08529170008841902,0.018508999957703054
i,746839.0628403,746839.2969388,0.23409849999006838,0.22556839999742806
o,746839.1730829,746839.3176965,0.14461359998676926,0.33581099996808916
n,746839.4772639,746839.565136,0.08787210006266832,0.15956739999819547
space,746839.7010416,746839.7772077,0.07616609998513013,0.1359055999200791
m,746839.8993045,746839.9991806,0.0998761000810191,0.122096800012514
o,746840.113312,746840.1968201,0.08350810001138598,0.11413139989599586
d,746840.239283,746840.4909839,0.25170090002939105,0.04246290004812181
e,746840.3630413,746840.5187056,0.15566430008038878,0.16622120002284646
l,746840.484879,746840.5747056,0.08982660004403442,0.2880589000415057
space,746840.716737,746840.812792,0.09605499997269362,0.14203139999881387
w,746840.8767179,746841.0770553,0.20033739996142685,0.06392590003088117
e,746840.9988451,746841.1167737,0.11792859993875027,0.18605310004204512
space,746841.0831165,746841.1671911,0.08407459990121424,0.006061200052499771
h,746841.559328,746841.6430063,0.08367830002680421,0.39213689998723567
a,746841.659191,746841.7714824,0.112291399971582,0.016184700070880353
v,746841.806744,746841.8911366,0.08439260011073202,0.03526159992907196
e,746841.9115454,746841.9951967,0.08365129993762821,0.020408799988217652
space,746842.0232226,746842.1190138,0.09579120005946606,0.02802590001374483
r,746842.4667345,746842.6995913,0.23285679996479303,0.34772069996688515
e,746842.6230418,746842.7789048,0.1558629999635741,0.5040279999375343
s,746843.0469295,746843.1734463,0.12651680002454668,0.2680246999952942
e,746843.2950284,746843.3827032,0.08767479995731264,0.1215821000514552
n,746843.4309409,746843.5294374,0.09849650005344301,0.04823770001530647
t,746843.7224863,746843.7932839,0.07079759996850044,0.19304889999330044
e,746843.8336052,746843.9236369,0.0900316999759525,0.040321300039067864
d,746844.0372365,746844.1351107,0.09787420008797199,0.11359959992114455
space,746844.1197453,746844.2054716,0.0857263000216335,0.19610840000677854
space,746844.3433504,746844.4173235,0.07397310005035251,0.13787879992742091
a,746844.667489,746844.7673312,0.0998421999393031,0.2501654999796301
p,746844.7931123,746844.8918231,0.09871080005541444,0.025781100033782423
e,746845.0774971,746845.3174043,0.23990719998255372,0.1856739999493584
r,746845.2234349,746845.3434771,0.12004219996742904,0.3316118000075221
space,746845.3995939,746845.4950798,0.09548590006306767,0.05611679994035512
o,746846.1626282,746846.2589558,0.09632759995292872,0.6675484000006691
n,746846.4429004,746846.5150581,0.07215769996400923,0.18394460005220026
space,746846.6368503,746846.7209749,0.08412459993269295,0.12179220002144575
i,746846.9389767,746846.9907496,0.05177290004212409,0.21800180000718683
t,746847.6568861,746847.7487895,0.09190340002533048,0.6661364999599755
space,746847.7746885,746847.8619688,0.08728029998019338,0.025899000000208616
i,746848.1108934,746848.2047875,0.09389409993309528,0.24892460007686168
backspace,746848.9744426,746849.056605,0.08216240000911057,0.7696551000699401
t,746849.3393165,746849.4149762,0.07565969997085631,0.28271149995271116
o,746849.4708005,746849.5345597,0.06375920004211366,0.05582430004142225
o,746849.6166199,746849.7213934,0.10477350000292063,0.08206019992940128
